user_id,text_id,text_id_ordered,text,timestamp,collection_phase,is_words,valence,arousal,vector_10_soft,vector_15_binary,vector_15_soft,vector_20_binary,vector_20_soft,vector_10_binary,vector_10_binary_llm,vector_10_binary_llm_text1,vector_10_binary_llm_text2,state_change_val,state_change_aro,train
1,200,1,"I feel good .   I caught up on some sleep . Work went well for me . Iâ€™m very relaxed and happy . I did have sone alcoholic beverages , but i spread them out throughout the day . I was never overly intoxicated .",09/06/2021 12:41,1,FALSE,2,1,"0.0514,0.1829,0.1646,0.0774,0.0486,0.1864,0.0513,0.0485,0.131,0.0579","0,1,1,0,0,1,0,0,1,0,0,0,1,0,0","0.037,0.1319,0.1168,0.0558,0.038,0.1345,0.0369,0.0353,0.0941,0.0408,0.0349,0.0458,0.1255,0.0381,0.0346","0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1","0.0256,0.0919,0.0764,0.0408,0.0269,0.0941,0.0256,0.0245,0.0622,0.028,0.0243,0.0291,0.087,0.0265,0.0241,0.0793,0.0925,0.0325,0.0255,0.0832","0,1,1,1,0,1,0,0,1,0","0,1,1,0,0,0,0,0,1,0","Happy / Positive, Calm / Relaxed, Satisfied / Relieved","Happy / Positive, Calm / Relaxed, Satisfied / Relieved",0,0,train
1,201,2,Iâ€™ve been feeling good for days and days . I really have a normal Routine .   I probably am happy because if my meth usage . Yea I smoke up a fat bowl of crystal then fuck my girlfriend . Oh yea baby oh yea !!!,11/06/2021 12:01,1,FALSE,2,1,"0.0683,0.1417,0.1479,0.1011,0.0593,0.1303,0.0669,0.062,0.1433,0.0793","0,1,1,0,0,1,0,0,1,0,0,0,1,0,0","0.048,0.0986,0.1021,0.0703,0.0452,0.0913,0.0463,0.0441,0.0996,0.0532,0.0413,0.0634,0.1066,0.0483,0.0416","0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1","0.0341,0.0707,0.075,0.0529,0.0329,0.0673,0.0332,0.0315,0.0692,0.0378,0.0294,0.0414,0.0761,0.0347,0.0299,0.0736,0.0636,0.0431,0.0319,0.0716","0,1,1,1,0,1,0,0,1,0","0,1,0,1,0,0,0,1,0,1","Happy / Positive, Energetic / Motivated, Neutral / Indifferent, Unwell / Physical State","Happy / Positive, Energetic / Motivated, Neutral / Indifferent, Unwell / Physical State",-2,0,train
1,202,3,"Iâ€™ve been feeling fine personally . Iâ€™ve been trying to stay positive , but because of the tragedic events of yesterday itâ€™s been very hard to do . Business at the bar sucked because sone many ppl didnâ€™t come out last night . I feel like Iâ€™m cursed because there has been one event after another that has severely effected business .",13/06/2021 13:15,1,FALSE,0,1,"0.1377,0.0455,0.0534,0.1171,0.1243,0.0431,0.1356,0.1324,0.0755,0.1354","1,0,0,0,0,0,1,1,0,1,0,0,0,1,0","0.0888,0.029,0.0345,0.0749,0.0778,0.0276,0.086,0.0856,0.0486,0.0867,0.0796,0.082,0.0322,0.0856,0.0811","1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0","0.0697,0.0229,0.0309,0.0569,0.0611,0.022,0.0681,0.0674,0.04,0.0685,0.062,0.0661,0.0251,0.0676,0.0642,0.0297,0.0217,0.0649,0.0658,0.0256","1,0,0,0,1,0,1,1,0,1","0,0,0,0,0,1,1,1,0,0","Sad / Lonely, Annoyed / Angry, Neutral / Indifferent","Sad / Lonely, Annoyed / Angry, Neutral / Indifferent",2,0,train
1,203,4,"I feel great . Iâ€™ve had a day off . Iâ€™m going to go to my momâ€™s birthday . I love having dinner with my mom . She always treats me , but tonight I think Iâ€™ll treat her .   So Iâ€™m not sure if that maters . Iâ€™m just say that because it makes me feel happy to be having dinner with my mom .",16/06/2021 12:03,1,FALSE,2,1,"0.0522,0.179,0.1667,0.0798,0.0489,0.1767,0.0521,0.0491,0.136,0.0596","0,1,1,0,0,1,0,0,1,0,0,0,1,0,0","0.0375,0.1281,0.1172,0.057,0.038,0.1269,0.0373,0.0356,0.097,0.0415,0.0349,0.0478,0.1277,0.0386,0.0347","0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1","0.026,0.0896,0.0782,0.0422,0.0269,0.0895,0.026,0.0248,0.0645,0.0285,0.0244,0.0304,0.0894,0.027,0.0242,0.0792,0.0873,0.0332,0.0257,0.083","0,1,1,1,0,1,0,0,1,0","0,1,1,0,0,0,0,0,1,0","Happy / Positive, Calm / Relaxed, Satisfied / Relieved","Happy / Positive, Calm / Relaxed, Satisfied / Relieved",0,1,test
1,204,5,"I feel great today . I am well rested . I have a positive attitude about how the rest of the day will go . I feel energized , so work today should be great .    I donâ€™t think that my mood will change . Iâ€™m very stable right now .",17/06/2021 12:38,1,FALSE,2,2,"0.053,0.1793,0.1645,0.0793,0.05,0.1795,0.0526,0.0498,0.1325,0.0595","0,1,1,0,0,1,0,0,1,0,0,0,1,0,0","0.038,0.1287,0.1164,0.0569,0.0391,0.129,0.0377,0.0361,0.0949,0.0417,0.0358,0.0469,0.1242,0.039,0.0354","0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1","0.0264,0.0899,0.0772,0.0417,0.0277,0.0909,0.0263,0.0251,0.0628,0.0288,0.0249,0.0299,0.0862,0.0272,0.0247,0.0797,0.0886,0.0332,0.0263,0.0826","0,1,1,1,0,1,0,0,1,0","0,1,1,1,0,0,0,0,0,0","Happy / Positive, Calm / Relaxed, Energetic / Motivated","Happy / Positive, Calm / Relaxed, Energetic / Motivated",,,na
2,23,6,"Productive , Tired , Active , Pleased , Busy",08/06/2021 15:11,1,TRUE,0,2,,"1,0,0,0,0,3,0,0,0,0,0,0,0,0,1",,"1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0",,"1,0,0,0,1,3,0,0,0,0","1,1,0,2,0,0,0,0,0,1","Tired / Fatigued, Happy / Positive, Energetic / Motivated, Unwell / Physical State","Tired / Fatigued, Happy / Positive, Energetic / Motivated, Energetic / Motivated, Unwell / Physical State",0,0,train
2,24,7,"Productive , Busy , Content",11/06/2021 17:10,1,TRUE,0,2,,"1,1,0,0,0,1,0,0,0,0,0,0,0,0,0",,"1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"1,1,0,0,0,1,0,0,0,0","0,1,0,1,0,0,0,0,0,1","Happy / Positive, Energetic / Motivated, Unwell / Physical State","Happy / Positive, Energetic / Motivated, Unwell / Physical State",2,-2,train
2,25,8,"Relaxed , Content , Comfy , Happy , Calm",15/06/2021 16:35,1,TRUE,2,0,,"0,2,0,1,0,2,0,0,0,0,0,0,0,0,0",,"0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0",,"0,2,0,1,0,2,0,0,0,0","0,2,3,0,0,0,0,0,0,0","Happy / Positive, Calm / Relaxed","Happy / Positive, Happy / Positive, Calm / Relaxed, Calm / Relaxed, Calm / Relaxed",0,1,train
2,22,9,"Productive , Relaxed , Happy , Content",18/06/2021 15:36,1,TRUE,2,1,,"0,1,0,0,0,3,0,0,0,0,0,0,0,0,0",,"0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0",,"0,1,0,0,0,3,0,0,0,0","0,2,1,1,0,0,0,0,0,0","Happy / Positive, Calm / Relaxed, Energetic / Motivated","Happy / Positive, Happy / Positive, Calm / Relaxed, Energetic / Motivated",0,-1,train
2,34,10,"Relaxed , Rested , Happy , Pleased , Content",11/02/2022 12:51,2,TRUE,2,0,,"1,1,0,0,0,3,0,0,0,0,0,0,0,0,0",,"1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0",,"1,1,0,0,0,3,0,0,0,0","0,3,2,0,0,0,0,0,0,0","Happy / Positive, Calm / Relaxed","Happy / Positive, Happy / Positive, Happy / Positive, Calm / Relaxed, Calm / Relaxed",0,0,train
